,word,part_of_speech,frequency
1227,macheath,noun,3
1233,spend,noun,3
1258,branch,noun,3
1277,shadrack,noun,3
1305,louie,noun,3
1322,rythm,noun,3
1342,chair,noun,3
1343,bottle,noun,3
1424,pot,noun,3
1429,ship,noun,3
323,worship,noun,2
341,bit,noun,2
343,doubt,noun,2
352,record,noun,2
353,show,noun,2
362,puppet,noun,2
363,pauper,noun,2
364,pirate,noun,2
366,pawn,noun,2
368,race,noun,2
371,try,noun,2
372,jump,noun,2
377,news,noun,2
381,heap,noun,2
384,brand,noun,2
385,wake,noun,2
410,gather,noun,2
427,right,noun,2
443,wrinkle,noun,2
452,figure,noun,2
453,mouth,noun,2
456,stay,noun,2
459,sacrifice,noun,2
460,sake,noun,2
461,spite,noun,2
462,warning,noun,2
467,reality,noun,2
468,stop,noun,2
480,honeymoon,noun,2
484,prayer,noun,2
524,dice,noun,2
525,party,noun,2
533,apple,noun,2
537,oop,noun,2
539,wall,noun,2
546,kerplop,noun,2
566,theatre,noun,2
571,dirt,noun,2
574,oke,noun,2
577,hide,noun,2
580,tot,noun,2
582,pick,noun,2
590,dash,noun,2
593,lover,noun,2
603,joke,noun,2
604,existence,noun,2
608,lesson,noun,2
619,cheer,noun,2
627,sense,noun,2
628,arouse,noun,2
629,pitch,noun,2
631,neon,noun,2
645,tender,noun,2
659,quest,noun,2
671,alcohol,noun,2
680,gate,noun,2
683,aglow,noun,2
685,serenade,noun,2
696,illusion,noun,2
697,conclusion,noun,2
698,dad,noun,2
702,treasure,noun,2
710,want,noun,2
732,cable,noun,2
733,setting,noun,2
736,meadowlark,noun,2
739,meet,noun,2
740,eternity,noun,2
741,catch,noun,2
745,package,noun,2
746,shower,noun,2
747,thunder,noun,2
753,dim,noun,2
766,juice,noun,2
767,planter,noun,2
771,dollar,noun,2
779,savor,noun,2
792,view,noun,2
793,crush,noun,2
801,napoli,noun,2
803,pizza,noun,2
808,tarantella,noun,2
811,scusami,noun,2
821,pour,noun,2
824,wish,noun,2
834,cigarette,noun,2
841,goodbyee,noun,2
853,volavo,noun,2
855,piu,noun,2
859,boat,noun,2
860,size,noun,2
866,mix,noun,2
872,advice,noun,2
875,feet,noun,2
877,school,noun,2
892,someplace,noun,2
894,tutta,noun,2
896,espresso,noun,2
899,roma,noun,2
908,feather,noun,2
909,alphabet,noun,2
911,whip,noun,2
912,cream,noun,2
913,evergreen,noun,2
914,red,noun,2
915,pumpkin,noun,2
916,snowball,noun,2
917,roll,noun,2
919,sidewalk,noun,2
938,sombrero,noun,2
943,cow,noun,2
944,ropene,noun,2
946,round,noun,2
950,guide,noun,2
951,history,noun,2
957,joy,noun,2
966,cleanse,noun,2
970,person,noun,2
971,testimony,noun,2
979,gin,noun,2
981,path,noun,2
989,cash,noun,2
991,spell,noun,2
994,ear,noun,2
995,caress,noun,2
